target_time,month,r,r2,kappa,mae,rmse,scale,input_years,protocol
2015-11-01,11,0.8054136290389571,-1.0692743701941891,0.0,0.32311188369902516,0.35632344839538105,24,15,paper_like
2015-12-01,12,0.7912078872436162,-3.511410382557841,-0.013751344009959698,0.8587101664722256,0.9110262827565945,24,15,paper_like
2015-01-01,1,0.9914746326587037,0.9828064899771178,,0.006818976127007189,0.008831984613888512,48,15,paper_like
2015-02-01,2,0.9958275737862515,0.9916560365746004,,0.005490061679655312,0.006991234528090019,48,15,paper_like
2015-03-01,3,0.997489259356313,0.9949550059666232,0.9545576767948373,0.004610176187348566,0.005826490769165632,48,15,paper_like
2015-04-01,4,0.997897116263399,0.9956680000278568,0.9521110796259563,0.0045703395022721645,0.005554113983953993,48,15,paper_like
2015-05-01,5,0.9987874933894,0.9975349284389485,0.929406850459482,0.003540011080583077,0.004432928929332515,48,15,paper_like
2015-06-01,6,0.9985952860865221,0.9971519408742802,0.9653972153972153,0.003800937405054248,0.004791423906704673,48,15,paper_like
2015-07-01,7,0.9989254365295278,0.9978485142843582,0.9660506227400563,0.0034397008271683767,0.004177335675064235,48,15,paper_like
2015-08-01,8,0.9984875299181473,0.9968264425753373,0.9678033911221186,0.004221180707036011,0.005163268672649011,48,15,paper_like
2015-09-01,9,0.9948391397349292,0.9856352878452557,0.9384335154826958,0.008298715448261674,0.01120094142431518,48,15,paper_like
2015-10-01,10,0.972964675045375,0.8408529932934995,0.7604535790219702,0.030990501990527237,0.03860239011018327,48,15,paper_like
2015-11-01,11,0.8920411310585755,0.6120982975885387,0.7190746640808976,0.06045386699984801,0.08471329349989307,48,15,paper_like
2015-12-01,12,0.741924206856071,-0.28217084946221616,0.6542081571409084,0.16715506795386395,0.20756613749659328,48,15,paper_like
