scale,model,protocol,month,horizon_months,r,r2,kappa,mae,rmse,selected_by_validation,validation_rmse
9,persistence_last,causal,6,6,0.8730890175077811,0.7302537446762829,0.399183281287533,0.33995909512743855,0.419296680031513,,
9,persistence_last,causal,7,7,0.8499375791399736,0.6910453811980253,0.3635410211183677,0.37067585357827876,0.4846324355874719,,
9,persistence_last,causal,8,8,0.7576034703153295,0.37594227799391955,0.2082293629373122,0.3425579861260542,0.43413010758540016,,
9,persistence_last,causal,9,9,0.6747616728496831,-3.2890200314177207,0.03040734366035558,0.9435317741449286,1.038867841014703,,
9,persistence_last,causal,10,10,0.5983916064874826,-8.645205554952392,-0.06916637734830089,1.7680443538199833,1.8456407160814798,,
9,persistence_last,causal,11,11,0.47696208407561136,-1.6520394021510274,-0.04676122931442084,1.0082176697000813,1.1926705583950432,,
9,persistence_last,causal,12,12,0.5464375787904032,-0.024109820351071898,0.21809322242457063,0.46200516661742724,0.6197132145503914,,
9,seasonal_persistence,causal,1,1,-0.10948102688993447,-3.4610222539588165,0.08393325993054956,0.9673374032373115,1.2628509071232772,,
9,seasonal_persistence,causal,2,2,-0.012429986339965697,-2.1103513764279525,-0.04964114832535871,0.9339444023718564,1.1007966107590195,,
9,seasonal_persistence,causal,3,3,-0.37256184351319016,-6.8554136450704775,-0.022567457072771857,1.879457554541218,2.0968524815144214,,
9,seasonal_persistence,causal,4,4,-0.011729141562471802,-3.5423425358923017,-0.012197254524787926,1.2303489650639068,1.4048396910145124,,
9,seasonal_persistence,causal,5,5,-0.04477213434079535,-4.344998919283084,-0.030862452029893017,1.5575643753530284,1.750236125173124,,
9,seasonal_persistence,causal,6,6,-0.11542986046261919,-5.461007423960466,-0.04060894530069503,1.8594591330665868,2.052077844635689,,
9,seasonal_persistence,causal,7,7,-0.15281953123200293,-4.441487682129312,0.00022465178972597144,1.8257488058225337,2.033873587291427,,
9,seasonal_persistence,causal,8,8,-0.2654414000817836,-7.146976957331988,-0.0018357746586605828,1.3245751036418096,1.5685767343473682,,
9,seasonal_persistence,causal,9,9,0.09562000424669691,-39.04532819072216,-0.0008410134211724873,3.0863116518952323,3.174367425552399,,
9,seasonal_persistence,causal,10,10,0.01299413592478507,-21.136240376092776,-0.0003852889667250725,2.7037517076091206,2.7960398043189625,,
9,seasonal_persistence,causal,11,11,0.3359987211733625,-0.658055791824468,0.09631098293679397,0.6767134013914237,0.9430399312869141,,
9,seasonal_persistence,causal,12,12,0.5464375787904032,-0.024109820351071898,0.21809322242457063,0.46200516661742724,0.6197132145503914,,
9,ridge,causal,1,1,0.9152902360938634,-9.417188326910251,-0.00790485937114016,1.9094081060601935,1.9297904082529234,False,2.30801696515891
9,ridge,causal,2,2,0.8564720585539866,-3.1554340727349386,-0.1938663282571913,1.2203678575195025,1.2723616040392438,False,2.30801696515891
9,ridge,causal,3,3,0.7431716213832245,-1.9314469501107143,-0.1124395486297689,1.159011032877825,1.2809269649783392,False,2.30801696515891
9,ridge,causal,4,4,0.7091407293811803,-4.279543814376801,-0.14240032382108891,1.4368808438945806,1.5145549250041326,False,2.30801696515891
9,ridge,causal,5,5,0.8456475080322257,-2.2818383722518445,-0.08571428571428563,1.2940074989709054,1.3714545730123437,False,2.30801696515891
9,ridge,causal,6,6,0.651496604217906,-3.7736612647820937,-0.06903190319031904,1.6429652885052022,1.7638819284799494,False,2.30801696515891
9,ridge,causal,7,7,0.7248130880449593,-1.974427998736092,-0.026860543077438903,1.351115586931123,1.503719603413966,False,2.30801696515891
9,ridge,causal,8,8,0.09472986328625267,-3.3083675863695374,-0.012649800266311573,1.0202170510153914,1.1406801920250853,False,2.30801696515891
9,ridge,causal,9,9,-0.6270669713321323,-1.4335887622184682,0.0,0.6636819010390912,0.7825369636273428,False,2.30801696515891
9,ridge,causal,10,10,-0.5542075872901822,-2.117469456739867,0.174085325584467,0.8460901224458635,1.049282723518641,False,2.30801696515891
9,ridge,causal,11,11,-0.34743034512954385,-0.24668650810047188,-0.15130524387451327,0.690725579497541,0.8177285149367471,False,2.30801696515891
9,ridge,causal,12,12,0.061910740364261974,-5.671808597909971,0.0,1.4566626430065213,1.5817552368851449,False,2.30801696515891
9,mlp_11,causal,1,1,0.8768580545714867,-11.194835583605514,-0.004501811275630541,2.0670230781908328,2.0879632975968847,True,2.29518290293719
9,mlp_11,causal,2,2,0.822373511251735,-4.452797600918081,-0.16665985866590427,1.4030605330315016,1.4575116861203146,True,2.29518290293719
9,mlp_11,causal,3,3,0.6684401236635188,-1.3049600097688963,-0.03487537674018082,0.9878440853975844,1.1358344741644755,True,2.29518290293719
9,mlp_11,causal,4,4,0.6089559619680329,-3.587524716231046,-0.10950080515297889,1.3113494095842082,1.4118092951792758,True,2.29518290293719
